Name,BES_Title,BES_Url,Wave No,Only_or_Combined,Base_or_Strings,Mode,Version,Stata_Filename,Stata_Url,SPSS_Url,Ques_Url,N,Date_Start,Date_Stop,Description,Citation,Friendlier_Description
W13_only,Wave 13 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-13-of-the-2014-2018-british-election-study-internet-panel/,13,Only,Base,Online Survey,1.2,BES2017_W13_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2017_W13_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2017_W13_v1.0.sav,http://www.britishelectionstudy.com/custom/uploads/2017/07/Bes_wave13Documentation_V1.0.pdf,31196,Jun-17,Jul-17,2017 post-election wave of the 2014-2018 British Election Study Internet Panel.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2017) British Election Study Internet Panel Wave 13. DOI: 10.15127/1.293723",2017 GE: Post-Election
W13_comb,British Election Study Combined Wave 1-13 Internet Panel,http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-13-internet-panel/,13,Combined,Base,Online Survey,1.2,BES2017_W13_Panel_v1.2.dta,http://www.britishelectionstudy.com/wp-content/uploads/2017/11/BES2017_W13_Panel_v1.2.zip,http://www.britishelectionstudy.com/custom/uploads/2017/07/BES2017_W13_Panel_v1.0_spss.zip,http://www.britishelectionstudy.com/custom/uploads/2017/07/Bes_wave13Documentation_V1.0.pdf,5300,Feb-14,Jul-17,"A panel dataset including waves 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 and 13 of the BES Internet Panel.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2017) British Election Study Internet Panel Waves 1-13. DOI: 10.15127/1.293723",2017 GE: Post-Election
W13_comb_strings,British Election Study Combined Wave 1-13 Internet Panel open ended response data,http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-13-internet-panel-open-ended-response-data/,13,Combined,Strings,Online Survey,1,BES2017_W13Strings_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2017_W13Strings_v1.0.dta.zip,http://www.britishelectionstudy.com/custom/uploads/2017/07/BES2017_W13_Panel_v1.0_spss.zip,http://www.britishelectionstudy.com/custom/uploads/2017/07/Bes_wave13Documentation_V1.0.pdf,5300,Feb-14,Jul-17,"A dataset containing the data from open ended response questions in waves 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 and 13 of the BES Internet Panel.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2017) British Election Study Internet Panel Waves 1-13. DOI: 10.15127/1.293723",2017 GE: Post-Election
W12_only,Wave 12 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-12-of-the-2014-2018-british-election-study-internet-panel/,12,Only,Base,Online Survey,1.2,BES2015_W12_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W12_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W12_v1.0.sav,http://www.britishelectionstudy.com/custom/uploads/2017/07/Bes_wave13Documentation_V1.0.pdf,34464,May-17,Jun-17,2017 campaign wave of the 2014-2018 British Election Study Internet Panel.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2017) British Election Study Internet Panel Wave 12. DOI: 10.15127/1.293723",2017 GE: Campaign
W11_only,Wave 11 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-11-of-the-2014-2018-british-election-study-internet-panel/,11,Only,Base,Online Survey,1.2,BES2015_W11_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W11_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W11_v1.0.sav,http://www.britishelectionstudy.com/custom/uploads/2017/07/Bes_wave13Documentation_V1.0.pdf,31014,Apr-17,May-17,2017 election pre-campaign wave of the 2014-2018 British Election Study Internet Panel.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2017) British Election Study Internet Panel Wave 11. DOI: 10.15127/1.293723",2017 GE: Pre-Campaign
W10_comb,British Election Study Combined Wave 1-10 Internet Panel,http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-10-internet-panel/,10,Combined,Base,Online Survey,0.3,BES2015_W10_Panel_v0.3.dta,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES2015_W10_Panel_v0.3_stata.zip,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES2015_W10_Panel_v0.3_spss.zip,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES_wave10DocumentationV0.2.docx,7351,Feb-14,Dec-16,"A panel dataset including waves 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10 of the BES Internet Panel. Version 0.3.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2016) British Election Study Internet Panel Waves 1-10. DOI: 10.15127/1.293723",2016 Autumn
W10_only,Wave 10 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-10-of-the-2014-2017-british-election-study-internet-panel/,10,Only,Base,Online Survey,0.6,BES2015_W10_v0.6.dta,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES2015_W10_v0.3.dta,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES2015_W10_v0.3.sav,http://www.britishelectionstudy.com/custom/uploads/2017/04/BES_wave10DocumentationV0.2.docx,30319,Nov-16,Dec-16,2016 Autumn wave of the 2014-2018 British Election Study Internet Panel. Version 0.3.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2015) British Election Study Internet Panel Wave 10. DOI: 10.15127/1.293723",2016 Autumn
W9_comb,British Election Study Combined Wave 1-9 Internet Panel,http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-9-internet-panel/,9,Combined,Base,Online Survey,1.2,BES2015_W9_Panel_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W9_Panel_v1.2_stata.zip,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W9_Panel_v1.2_spss.zip,http://www.britishelectionstudy.com/custom/uploads/2016/10/BES_wave9Documentation.docx,10170,Feb-14,Jul-16,"A panel dataset including waves 1, 2, 3, 4, 5, 6, 7, 8 and 9 of the BES Internet Panel. Version 1.0.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2016) British Election Study Internet Panel Waves 1-9. DOI: 10.15127/1.293723",2016 EU Ref: Post-Referendum
W9_only,"Wave 9 of the 2014-2018 British Election Study Internet Panel (2016 EU Referendum Study, Post-election survey)",http://www.britishelectionstudy.com/data-object/wave-9-of-the-2014-2017-british-election-study-internet-panel-2016-eu-referendum-study-post-election-survey/,9,Only,Base,Online Survey,1.2,BES2015_W9_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W9_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W9_v1.2.sav,http://www.britishelectionstudy.com/custom/uploads/2016/10/BES_wave9Documentation.docx,30036,Jun-16,Jul-16,2016 post-referendum wave of the 2014-2018 British Election Study Internet Panel. Version 1.2.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2015) British Election Study Internet Panel Wave 9. DOI: 10.15127/1.293723",2016 EU Ref: Post-Referendum
W8_only,"Wave 8 of the 2014-2018 British Election Study Internet Panel (2016 EU Referendum Study, Daily Campaign Survey)",http://www.britishelectionstudy.com/data-object/wave-8-of-the-2014-2017-british-election-study-internet-panel-daily-file/,8,Only,Base,Online Survey,1.6,BES2015_W8_v1.6.dta,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W8_v1.6.dta,http://www.britishelectionstudy.com/custom/uploads/2016/12/BES2015_W8_v1.6-1.sav,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_wave8.pdf,31409,May-16,Jun-16,The 2016 EU Referendum campaign wave of the 2014-2018 British Election Study Internet Panel. Version 1.6.,"Evans, G., E. Fieldhouse., J. Green., H. Schmitt, C., van der Eijk., J. Mellon and C. Prosser (2016) British Election Study Internet Panel Wave 8 (2016 EU Referendum Study, Daily Campaign Survey). DOI: 10.15127/1.293723",2016 EU Ref: Campaign
